name,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128
Cetrorelix,0.029333205,-0.169022278,-0.20478131,-0.061878179,0.083949499,-0.065073944,-0.184553392,-0.14848125,0.359237762,-0.023486232,-0.027955481,-0.03331872,-0.290329032,-0.013485942,-0.147270095,0.128140133,-0.404579205,0.603143758,0.00593338,-0.158716058,-0.173673426,0.151725812,-0.131489934,-0.076190376,-0.137816449,0.061098403,0.010879493,-2.613364246,-0.02190209,-0.090033703,0.02352239,-0.102469915,-0.035745784,-0.002319093,0.162667624,-0.283084046,-0.021920876,0.070366929,0.023030899,-0.218975265,0.040533136,0.040637206,0.139605148,0.173760514,-0.015596418,-0.120871156,-0.03396623,-0.045064844,0.186311617,-0.074055776,0.000394805,0.027279346,-0.462977887,-0.341604413,-0.118688121,0.061123125,0.099514663,-0.114453024,-0.353759237,0.09468361,0.190331311,-0.518638004,-0.007705217,0.081335456,0.009403446,0.135652262,0.560871508,0.164106082,0.005065332,0.070960246,-0.116907366,-0.038367472,0.090634645,-0.043020274,-0.293254649,-0.108373027,0.04519203,0.236727549,-0.418501992,-0.716685242,0.021111174,0.226384527,-0.075697048,-0.057344396,0.012346905,0.007125634,-0.163300149,0.101647105,-0.343003634,0.17071861,-0.165005129,0.19149501,0.189012627,0.060527773,-0.196083346,0.306472867,-0.1966075,0.091701454,0.001551248,0.049533587,-0.157447635,-0.130016959,0.07428502,-0.17673304,0.028237452,0.003506154,-0.381383466,-0.138083888,0.207363209,0.286798243,0.374464748,0.205874434,0.155561827,0.381114211,-0.417738352,-0.045313013,-0.211312958,-0.566216888,-0.660351017,-0.27939952,0.081267271,0.034782961,0.115949321,0.01255379,-0.198833151,0.031918817,-0.152905524,-0.00341773
Thiamine,-0.091222107,-0.079656369,-0.242469717,-0.003553316,0.030357737,-0.08932968,-0.244810699,-0.001572883,0.119293445,-0.102598833,0.012454024,0.033893475,-0.115203403,0.013327227,-0.151925929,0.095657702,-0.144746792,0.112239305,-0.056535415,-0.298463555,-0.179507591,0.146174405,-0.1102163,-0.064044232,-0.122617338,0.059104949,0.019080019,-2.21554769,0.08401558,-0.28526883,0.172203192,-0.065611399,-0.10812546,0.14025632,0.094419157,-0.243521877,0.046506294,0.050583901,-0.104889641,-0.077824703,0.167008013,-0.084579547,0.276447946,0.140478393,0.02206292,-0.150884898,0.162925935,-0.153970508,0.015962043,0.045302591,0.037473617,0.120049706,-0.208967155,-0.545721649,-0.137592136,-0.125653595,0.077032379,-0.10759265,0.095639775,0.073307914,-0.098943915,-0.371489185,0.000694435,-0.033053669,0.194845048,0.208402187,-0.205399935,0.117517411,-0.007913808,0.095738988,0.000303202,0.000926398,0.17641809,0.239756107,-0.030723454,-0.037217776,0.098960237,0.531649079,-0.424566421,-0.678265117,-0.13094472,-0.016231838,-0.086681959,-0.139128027,0.300028494,0.045098003,0.01529117,0.063457808,0.187381851,0.334829756,-0.088996165,0.337260558,0.181790418,0.09703978,-0.048056998,-0.227979444,-0.105137613,-0.040838038,-0.026180849,0.003925224,-0.146707538,-0.226781232,-0.040912298,0.004398707,-0.09468595,-0.076144893,-0.892546156,-0.105689311,0.089006913,-0.058708115,0.097119452,0.333304996,0.177601026,0.286570763,-0.113099597,-0.107152769,0.250659916,0.281426386,-0.316150384,0.116462946,0.029311039,-0.037943487,0.047470317,0.121571039,-0.089621235,0.083276169,-0.177164615,-0.695535697
Retinol,-0.268385683,-0.123484426,-0.346039431,0.031737675,-0.015812514,-0.055033168,-0.288527646,-0.153959115,0.197179437,0.102062772,-0.108257573,0.019662896,0.041495544,-0.08202876,-0.312821002,0.219767918,-0.079696963,0.310042137,-0.008900806,0.314292783,-0.059168097,0.139019081,-0.481459157,-0.146256474,-0.212219382,0.005407949,-0.064618708,-3.134049875,0.006855848,-0.371943268,-0.20849278,0.049804653,-0.108588911,0.014498568,0.137834388,-0.160773809,0.132236835,-0.012987605,0.019887757,-0.460130803,0.202138976,0.274858246,-0.368385261,0.121706275,-0.075212925,-0.201546388,0.154542182,-0.237743563,0.112064682,0.016058513,0.052526644,-0.070093503,0.089835903,-0.005908934,0.440529183,-0.113329243,0.271431456,-0.14760612,-0.192327501,0.076534773,0.188698901,-0.750994481,-0.090594731,0.090039801,-0.07319588,0.027054971,0.104150023,0.035250109,0.034238657,0.146705658,0.04033899,-0.07944316,0.161513215,0.21068731,-0.244446875,0.175362518,-0.210753899,-0.191393909,0.473606173,-1.005514016,0.272251778,0.012290519,0.058584149,0.316991093,0.097594363,-0.115336585,0.083852095,0.129053848,-0.136142927,0.342516432,0.001141808,0.238525732,0.193247386,-0.167726372,-0.084683309,0.472128674,-0.171335986,-0.076016367,-0.137911644,0.046342162,-0.166532407,0.270408425,-0.001036427,-0.796455737,-0.284721555,-0.131336252,-1.236935971,-0.120263807,0.468840771,-0.004212385,-0.008362412,-0.371243509,0.161010925,0.135504109,-0.087224673,-0.13464281,-0.106713521,-0.999718426,-0.83127681,-0.364439639,0.230236242,0.075090113,0.019272077,0.060972563,0.207872472,0.213764003,-0.127235709,-0.145158375
Pravastatin,0.05074293,-0.173230453,-0.008427761,-0.048359654,0.129878995,0.067242512,0.092143958,-0.160157297,0.338251871,-0.103325223,-0.093795761,-0.03798433,-0.436046059,-0.066175414,0.062291402,0.145769046,0.102877632,-0.028278935,0.027593825,0.153232111,-0.039762767,-0.213977876,-0.325850829,-0.284336175,-0.21211971,-0.086057407,-0.204142837,-2.89528928,-0.026029862,-0.2125027,-0.100416266,0.012674154,0.077491969,0.041544373,0.122753704,-0.323537261,0.104895197,0.01482392,0.072047076,-0.207116685,0.425902736,-0.240831208,0.032213341,0.166356719,-0.160089434,-0.22756316,-0.043775871,0.184138485,0.180871665,0.077802094,0.16436406,0.136261776,-0.203636769,-0.222823716,0.209253886,0.238216652,-0.035874091,-0.047534372,-0.374202767,0.072099981,0.305316055,-0.470205867,-0.169035107,-0.025385941,0.680725903,-0.017362299,0.242688751,0.100977429,-0.154900083,-0.102059262,-0.124866102,0.134102538,-0.051953216,0.344299461,-0.098702922,-0.042785586,-0.326415318,-0.177546558,-0.198785641,0.260353668,-0.141424144,0.04461269,0.031981197,0.041879418,0.119189914,0.009448062,-0.085468132,-0.141957672,-0.186531464,0.141748305,-0.076484968,-0.082688906,0.309623674,-0.245453557,0.110559125,0.235826436,-0.369299081,0.039822937,-0.229977742,-0.217039011,-0.458343039,0.521740692,0.145265165,-0.082701075,-0.121903439,-0.09233063,-0.54669632,-0.091311686,0.409309886,0.215823279,-0.085598295,0.242580337,0.319155964,0.298841121,-0.195160777,-0.259990461,-0.25968155,-0.615963174,-0.595842915,0.348206058,0.080549363,0.006837457,-0.187184308,0.056193344,0.115051279,0.161999554,-0.234334549,0.447857641
Fluvoxamine,0.046388974,-0.262606966,0.416574413,0.094883427,-0.006982255,-0.160724703,-0.025259993,0.074754906,0.345702887,-0.09501905,0.035705603,0.058411453,0.102007814,-0.0470464,-0.034569453,0.632189929,0.625973872,-0.601619794,-0.01423946,-0.255021148,0.048267802,0.192965106,-0.28432505,-0.016927991,-0.224293631,0.048843175,-0.030879441,-2.34681016,-0.084439349,-0.180728771,0.017762174,-0.121397637,0.498167497,-0.020375077,0.336458195,-0.249751543,-0.004653301,-0.002862757,-0.041375443,0.29537807,-0.348468677,0.235514751,-0.259856014,0.259340869,0.144927341,0.091475369,0.069620296,-0.184160973,0.187775933,0.096244697,0.136860563,0.068727624,0.016921273,-0.35320564,-0.043697124,0.101823837,-0.007607133,-0.118306976,-0.254787963,0.291622531,0.363546021,-0.392188054,0.021322895,0.23499542,0.083495393,0.003572642,0.186490544,0.058509016,-0.066162835,0.463745246,-0.05835219,0.198146317,0.276350026,-0.538129059,-0.059029105,-0.04571925,-0.280552147,0.638767052,-0.246772884,0.749089827,0.10985061,-0.40811295,0.01041171,-0.581579129,0.063090844,0.245994059,-0.036477419,-0.097707607,-0.205230112,0.131807027,-0.064257276,-0.121989653,0.19136346,0.071864747,0.168458545,0.07238443,-0.047805096,-0.151925939,-0.159181818,0.004658873,-0.346949233,-0.086455108,-0.400077447,-0.185197871,0.012849578,0.113867174,0.502945911,-0.094163898,-0.231263919,0.06270067,-0.347641083,0.148182347,0.203445622,0.034582521,-0.102525435,-0.048284564,-0.610124832,0.235626561,0.060517839,0.320443304,0.180091172,0.100535954,0.014530655,-0.069647015,-0.124276589,0.228133261,-0.169364942,0.273888016
Valsartan,-0.066509459,-0.037614564,0.009193779,0.116734,0.061615609,-0.128375667,0.00077081,-0.139663086,0.440633041,0.057542126,0.046837229,0.052242947,-0.596981432,0.070687988,0.136353402,-0.227811973,0.025710151,0.067352883,-0.076522951,0.260108559,-0.130644696,0.12833368,-0.177536934,0.032831277,-0.210371264,0.141156819,-0.067360682,-2.912136063,0.001713638,-0.257628312,0.136221581,-0.025974839,0.420692644,0.068444642,0.228339219,-0.301850494,0.167740616,0.066757351,-0.068140063,0.186137141,0.233394615,-0.118459175,-0.188995823,0.164824965,-0.067165915,-0.145305668,0.19293263,-0.025324948,0.111209608,-0.009299178,0.083657039,0.122068533,-0.177917244,-0.14510349,0.144002952,-0.0040802,-0.231568076,-0.16525381,-0.292723519,-0.011681098,0.224397765,-0.556321965,0.051540578,0.037824278,0.499412404,0.132668031,0.200476328,-0.019573204,-0.04642917,0.086395328,-0.186053963,0.170081486,0.062114554,0.708809771,-0.260543062,0.008647592,-0.150023148,-0.047906927,0.21964959,-0.232350269,-0.010716083,-0.394483387,0.038243959,0.109100763,0.089320231,-0.057862745,-0.208557582,0.002406232,-0.200303615,0.13436456,0.267569865,0.090696603,0.396108313,0.095460381,0.019435041,0.314245045,-0.238999726,0.039901864,-0.161383937,0.00161966,-0.208460369,0.249529674,-0.140756367,-0.272516947,0.220860295,0.095156766,-0.566196822,0.083966179,0.370346585,0.200293169,-0.037467971,0.009527623,0.375188992,0.052095392,-0.237596337,-0.236234119,-0.259402068,-0.680222207,-0.717146179,-0.309801658,0.255495771,-0.181369258,0.078258045,0.03357968,0.10860894,0.086335615,-0.046847722,-0.017000969
Ramipril,0.139501522,0.085529852,0.125369507,0.04946458,0.098474084,-0.149992936,-0.074844204,-0.262991117,0.254595329,-0.039047568,0.030802753,-0.089583313,-0.671429085,-0.019238311,-0.038577484,-0.241247693,0.016915533,0.489435598,-0.034137877,0.408999197,-0.045908447,0.060039489,-0.203493134,0.042536883,-0.280995939,0.183144618,-0.222520494,-2.681665576,-0.042389415,-0.283132743,0.108797186,0.052600224,0.381902077,0.024608197,0.326003705,-0.276916833,0.013691299,0.099462659,-0.155771209,0.273365557,0.024320012,-0.072364287,0.150642833,0.189634394,0.083453855,-0.122220051,0.097972807,0.022231324,0.364955564,-0.029548161,0.033201711,0.139534558,-0.052490231,-0.361307565,0.326868829,-0.103683616,-0.019341242,-0.077474377,0.295305974,-0.080710913,0.227419332,-0.450571607,-0.100084449,0.03509695,0.324625305,-0.061984844,0.231674671,-0.014548687,-0.020122223,-0.023086865,-0.318679813,0.198780039,0.048896381,0.821553208,-0.093120472,-0.068212279,-0.247418446,0.028888451,-0.266697193,0.048096681,0.029607124,-0.070123177,0.08395121,0.32629536,0.092171382,-0.018385254,-0.088159443,-0.078979266,-0.092680798,0.111142926,0.022830814,0.108545018,0.394148457,0.04236545,0.095391873,0.080652081,-0.497344245,-0.094027113,-0.037062666,0.072810772,-0.221954323,0.495455786,-0.213954752,0.096619408,0.118929711,0.172145343,-0.291442822,-0.030556908,0.265174966,0.16310646,-0.325267543,0.248257837,0.314908063,-0.089441675,-0.052613653,-0.291410212,-0.192382842,-0.230508062,-0.368663983,0.12475419,0.127006233,-0.183617423,-0.022380155,0.022118482,-0.157433576,0.046071689,-0.097523442,0.148776194
Flunisolide,0.035864619,-0.127565207,-0.092478907,-0.023552869,0.031195844,-0.407299169,-0.106025973,0.341915166,0.246207833,-0.009533139,0.05379245,0.018910092,0.048976121,-0.052681692,-0.22579917,-0.088401319,0.186742931,0.300213598,0.038081478,-0.317964531,-0.16176497,-0.167263109,-0.227697701,-0.16260889,-0.277609567,0.018617723,-0.174580081,-1.797661169,0.020780096,-0.081249987,0.091403244,0.072467432,-0.062724149,-0.092841175,0.170163257,-0.035545487,0.212815568,-0.135557964,-0.054837464,0.166307843,0.239587672,-0.377479716,-0.078454655,-0.250076388,0.021589018,-0.140843246,0.014662156,-0.094295565,0.010319358,0.011285363,0.024942089,0.083309981,-0.200833516,-0.610019685,0.08534361,-0.090470091,-0.033603103,0.119293338,0.137097687,-0.067990571,0.247334904,-0.30083207,-0.356864649,0.041208016,-0.04534547,0.27964246,-0.001417588,0.061460762,-0.067832873,0.040477632,-0.168780816,-0.156699686,-0.023208871,0.170971521,-0.022881702,0.013329319,-0.105902606,0.184342629,-0.193015962,0.154081341,-0.033842907,0.04278315,-0.089387342,-0.194528781,0.183206536,-0.052092933,-0.160404688,0.034716441,0.091376965,0.385035319,-0.08142968,0.094630351,0.124127457,0.031392015,0.429987245,-0.25692622,-0.218320745,0.016282556,-0.193470902,-0.024512945,-0.470740512,-0.053813811,-0.073672361,0.031042743,-0.029746031,-0.018769393,0.386924861,-0.017024307,0.031340527,0.311506579,-0.090000648,0.079848998,0.05070574,-0.002589024,-0.207240939,-0.231941219,0.124721871,1.566266765,0.798195282,-0.053464905,0.149808076,-0.132549634,0.011705906,0.044015676,-0.02419096,0.153413974,-0.151023503,-0.38634069
Baclofen,0.011869184,-0.228271515,0.332286873,0.159508335,0.100778611,-0.003746354,-0.075132655,-0.049831221,0.337849873,-0.110083783,0.140771489,0.077600419,0.090427074,-0.027520997,-0.020626054,0.031608151,0.264560504,-0.369879909,-0.039236876,-0.130066838,-0.113100586,0.304688825,-0.329709716,-0.179918221,-0.254629782,0.040507324,0.123458097,-2.559177585,0.026510146,-0.200969898,0.09037347,-0.089046842,0.642422498,0.034113141,0.233534989,-0.277513207,-0.027145725,0.188902799,-0.023214359,0.14747023,-0.483040986,0.418051959,-0.38832916,0.187985934,0.117747459,-0.268980364,-0.039701476,-0.350984728,0.004442409,-0.048207984,0.03563017,0.020496688,0.080432789,-0.212186988,0.158073683,0.015127139,0.156068341,-0.262285963,0.483413735,0.147870191,0.221192407,-0.386298599,-0.008420716,-0.001668421,-0.01677929,-0.085315567,0.018643979,0.062190686,-0.145458846,0.068057595,-0.157734495,0.089630107,0.187464746,-0.381172788,0.181297989,0.088863637,-0.083637978,0.336876395,-0.34464793,0.43061913,-0.086498977,0.024480981,0.004110453,-0.431598941,0.118595357,0.070291739,-0.301909863,-0.003316298,-0.146595312,-0.103814729,-0.115166877,0.175115905,0.165590789,0.156919523,0.078382877,0.106871931,-0.180127981,0.210166334,0.060733009,0.022509611,-0.140160594,-0.298592322,-0.0889447,0.159701861,-0.182013425,-0.021160874,0.253598908,-0.117965955,0.106608537,0.061662863,-0.211133765,0.250170989,0.369206723,0.026711126,-0.036914092,0.013559452,-0.221703534,0.035567003,-0.2755469,0.055576059,0.051296525,0.185143492,-0.109137471,0.194508239,-0.007870458,0.105785971,-0.062430955,0.143007878
Amphetamine,0.123205529,-0.077305412,0.010098173,0.118060663,0.07889968,-0.162686915,-0.166115317,-0.194660702,0.350045575,-0.146644496,-0.04340001,0.04996151,0.665973626,-0.149005125,-0.034714008,0.559209358,0.039805149,-0.038052737,-0.043114216,-0.232525476,0.107415413,0.064383379,-0.218861311,-0.066902643,-0.269121513,-0.170971441,-0.092028907,-3.020731683,0.005679419,-0.176287391,0.1506846,-0.009877401,-0.031921861,0.12235353,0.179474223,-0.116105737,0.072984404,-0.041186266,-0.030368296,-0.187718724,-0.481289189,0.34549253,-0.3713986,0.16386243,-0.038218192,-0.317319886,0.124295328,0.336875534,0.077734377,-0.060133385,-0.00997269,-0.052046445,0.016366872,-0.11341521,0.068861855,-0.010985176,0.366914645,-0.246751546,0.019068124,0.193595835,0.483902942,-0.635505329,0.015754208,0.081878739,0.282912912,-0.070151523,0.264977876,0.019098085,-0.105320042,0.018197497,-0.095950875,0.045781187,0.137837592,0.058164219,-0.040624551,0.042000588,-0.213035222,-0.013864015,-0.093204803,-0.083972385,0.065027124,0.106478662,-0.107575753,0.221310946,0.075273482,0.062070284,0.116135255,0.083456268,-0.310624553,0.119900471,-0.156862467,0.197529327,0.312624913,0.101637899,-0.059228623,0.349266324,-0.282710305,0.03024689,0.132499322,-0.034899936,-0.142828322,0.200768089,-0.10710012,0.435117135,-0.251971573,0.070437987,-0.433072319,-0.172792263,0.307855209,0.030913261,-0.218257787,0.193312797,0.256182826,0.100537257,0.108981576,-0.067401987,-0.617868833,-0.811728552,-0.575302278,0.35802574,0.232906998,-0.03485676,-0.069867305,0.101028871,0.009203509,-0.01349882,-0.048998698,0.138215725
